,fea_title_word_nums,fea_title_num_nums,fea_title_chars_low_nums,fea_title_chars_upp_nums,fea_title_chars_punct_nums,fea_title_stop_nums,fea_body_word_nums,fea_body_num_nums,fea_body_chars_low_nums,fea_body_chars_upp_nums,fea_body_chars_punct_nums,fea_body_stop_nums,fea_word_nums,fea_body_word_density,fea_title_word_density,body_noun_count,body_verb_count,body_adj_count,body_adv_count,body_pron_count,fea_body_total_length,fea_title_total_length,fea_body_upp_vs_length,fea_title_upp_vs_length,fea_body_num_exclamation_marks,fea_body_num_question_marks,fea_body_num_unique_words,fea_body_words_vs_unique,fea_body_word_unique_percent,gulpease,reliability
19,9,0,50,5,1,2,319,0,1697,49,29,113,328,5.45625,5.5,67,43,36,16,16,2111,64,0.023211747986736146,0.078125,0,0,219,0.6865203761755486,68.65203761755485,46.83699059561128,0
21,12,0,64,3,3,3,1778,20,9989,72,249,691,1790,5.655424395727937,5.153846153846154,559,152,249,57,34,12176,81,0.005913272010512484,0.037037037037037035,0,0,716,0.4026996625421822,40.269966254218225,34.978627671541055,0
23,12,1,70,1,2,4,327,48,1624,38,64,112,339,5.067073170731708,5.461538461538462,78,52,25,20,18,2121,85,0.017916077322017915,0.011764705882352941,0,4,236,0.7217125382262997,72.17125382262996,56.920489296636084,0
24,9,0,43,4,2,3,89,0,428,26,15,31,98,5.044444444444444,4.7,15,16,9,9,2,564,60,0.04609929078014184,0.06666666666666667,0,0,72,0.8089887640449438,80.89887640449439,48.7752808988764,0
25,7,0,56,2,2,1,80,0,448,15,14,24,87,5.716049382716049,7.25,21,14,6,8,3,560,66,0.026785714285714284,0.030303030303030304,0,0,69,0.8625,86.25,58.375,0
26,16,0,84,2,2,6,94,0,484,15,7,35,110,5.252631578947368,5.0588235294117645,23,13,7,4,5,603,106,0.024875621890547265,0.018867924528301886,0,0,78,0.8297872340425532,82.97872340425532,48.680851063829785,0
27,5,0,44,3,2,0,110,1,593,29,15,37,115,5.603603603603603,7.833333333333333,23,14,6,3,4,756,53,0.03835978835978836,0.05660377358490566,0,0,91,0.8272727272727273,82.72727272727273,46.45454545454545,0
28,15,0,67,9,2,5,196,25,988,30,45,64,211,5.16751269035533,4.75,47,27,17,17,8,1295,95,0.023166023166023165,0.09473684210526316,0,2,158,0.8061224489795918,80.61224489795919,62.01020408163265,0
29,8,0,53,4,2,2,335,3,1820,40,31,137,343,5.535714285714286,6.333333333333333,77,52,21,17,20,2245,66,0.017817371937639197,0.06060606060606061,0,1,226,0.6746268656716418,67.46268656716418,49.95522388059702,0
31,11,1,53,2,2,3,130,1,693,13,11,49,141,5.3893129770992365,4.583333333333333,31,18,12,12,5,858,68,0.015151515151515152,0.029411764705882353,0,0,104,0.8,80.0,53.30769230769231,0
32,8,0,51,4,2,1,90,0,514,18,11,29,98,5.846153846153846,6.111111111111111,19,16,9,1,1,637,64,0.0282574568288854,0.0625,0,0,75,0.8333333333333334,83.33333333333333,43.55555555555556,0
33,16,0,68,4,8,5,952,19,4440,95,121,415,968,4.758656873032529,4.235294117647059,188,147,64,82,80,5681,97,0.016722408026755852,0.041237113402061855,0,6,519,0.5451680672268907,54.516806722689076,55.58613445378151,0
34,16,0,69,4,2,5,117,0,588,20,13,42,133,5.1525423728813555,4.294117647058823,26,17,7,7,4,744,92,0.026881720430107527,0.043478260869565216,0,0,94,0.8034188034188035,80.34188034188034,58.230769230769226,0
35,14,0,69,4,3,4,228,0,1126,31,31,90,242,5.0524017467248905,4.866666666666666,36,45,15,18,25,1430,91,0.021678321678321677,0.04395604395604396,0,2,167,0.7324561403508771,73.24561403508773,57.15789473684211,0
36,9,3,57,1,2,1,207,109,846,19,52,72,216,4.158653846153846,5.8,42,25,18,25,6,1240,71,0.01532258064516129,0.014084507042253521,0,0,139,0.6714975845410628,67.14975845410628,89.67632850241546,0
37,14,18,27,32,12,4,282,229,1076,60,224,61,296,4.014134275618375,3.933333333333333,54,31,19,14,6,1880,102,0.031914893617021274,0.3137254901960784,0,0,224,0.7943262411347518,79.43262411347517,84.0709219858156,0
38,9,0,48,1,1,4,648,5,3371,52,77,263,657,5.27426810477658,4.9,141,98,68,58,51,4172,58,0.012464046021093002,0.017241379310344827,0,3,408,0.6296296296296297,62.96296296296296,49.910493827160494,0
39,8,0,44,2,1,3,295,0,1466,41,33,117,303,5.091216216216216,5.111111111111111,77,48,19,20,11,1846,55,0.022210184182015168,0.03636363636363636,0,0,192,0.6508474576271186,65.08474576271186,54.49152542372882,0
40,6,0,33,1,1,2,761,1,4070,46,111,311,767,5.4015748031496065,4.857142857142857,202,106,63,56,39,5029,40,0.00914694770332074,0.025,0,2,452,0.5939553219448095,59.39553219448094,47.52825229960578,0
41,7,0,27,18,2,2,164,48,473,164,48,42,171,3.860606060606061,5.625,27,12,7,7,2,896,54,0.18303571428571427,0.3333333333333333,6,1,124,0.7560975609756098,75.60975609756098,57.77300613496932,0
42,9,0,53,2,1,2,144,6,798,28,20,41,153,5.696551724137931,5.5,33,20,19,5,3,1008,64,0.027777777777777776,0.03125,0,0,113,0.7847222222222222,78.47222222222223,54.69444444444444,0
43,11,0,66,1,1,4,389,3,1989,39,40,161,400,5.2,5.583333333333333,97,55,29,22,22,2476,80,0.015751211631663976,0.0125,0,0,236,0.6066838046272494,60.66838046272493,48.87146529562982,0
44,6,0,39,5,2,1,161,0,967,25,22,51,167,6.1234567901234565,6.285714285714286,44,23,19,7,5,1191,53,0.020990764063811923,0.09433962264150944,0,1,128,0.7950310559006211,79.5031055900621,44.65217391304348,0
45,14,0,17,79,6,2,102,8,565,7,17,35,116,5.553398058252427,6.4,34,11,11,4,4,698,115,0.01002865329512894,0.6869565217391305,0,0,81,0.7941176470588235,79.41176470588235,45.07843137254902,0
46,8,0,50,3,2,2,761,9,3824,73,90,303,769,5.1141732283464565,5.888888888888889,173,108,72,46,37,4772,62,0.015297569153394803,0.04838709677419355,0,11,458,0.6018396846254928,60.18396846254928,48.7634691195795,0
47,12,1,56,1,1,4,450,30,2244,73,66,163,462,5.137472283813747,4.384615384615385,112,58,46,24,10,2862,70,0.025506638714185886,0.014285714285714285,0,0,299,0.6644444444444444,66.44444444444444,49.84444444444444,0
48,10,0,43,2,2,3,104,0,610,10,18,38,114,5.904761904761905,4.090909090909091,24,17,14,4,4,742,56,0.013477088948787063,0.03571428571428571,0,0,81,0.7788461538461539,77.88461538461539,44.48076923076923,0
49,10,0,59,2,2,2,177,9,841,22,30,72,187,4.848314606741573,5.545454545454546,42,25,9,10,7,1078,72,0.02040816326530612,0.027777777777777776,0,0,125,0.7062146892655368,70.62146892655367,55.94915254237288,0
50,10,0,61,1,0,3,472,33,2590,118,71,179,482,5.725158562367865,5.636363636363637,122,65,57,22,13,3290,71,0.035866261398176294,0.014084507042253521,0,0,283,0.5995762711864406,59.95762711864407,43.34322033898305,0
51,12,0,81,4,3,1,339,17,1652,56,84,109,351,5.023529411764706,6.538461538461538,64,52,17,13,13,2159,99,0.025937934228809634,0.04040404040404041,0,8,232,0.6843657817109144,68.43657817109144,53.985250737463126,0
52,14,2,68,2,2,5,257,12,1385,19,41,101,271,5.441860465116279,4.666666666666667,83,28,23,6,2,1713,87,0.011091652072387624,0.022988505747126436,0,0,175,0.6809338521400778,68.09338521400778,47.40466926070039,0
53,9,1,40,2,2,2,187,1,939,14,23,80,196,5.069148936170213,4.2,38,36,16,12,10,1173,53,0.011935208866155157,0.03773584905660377,0,0,133,0.7112299465240641,71.12299465240642,46.64705882352941,0
54,5,0,37,2,2,0,71,0,396,19,17,16,76,5.763888888888889,6.5,17,11,7,6,1,515,48,0.036893203883495145,0.041666666666666664,0,0,65,0.9154929577464789,91.54929577464789,43.50704225352113,0
55,7,2,40,2,2,1,117,5,581,18,16,45,124,5.076271186440678,5.25,27,12,8,5,5,740,52,0.024324324324324326,0.038461538461538464,0,0,85,0.7264957264957265,72.64957264957265,55.92307692307692,0
56,9,0,29,13,3,3,1335,55,6704,245,219,497,1344,5.201347305389222,4.2,268,169,125,91,69,8647,53,0.028333526078408697,0.24528301886792453,2,4,767,0.5745318352059925,57.453183520599254,52.00374531835206,0
57,15,0,70,4,4,6,166,2,843,17,24,61,181,5.149700598802395,4.625,44,23,8,12,13,1060,92,0.016037735849056604,0.043478260869565216,0,1,133,0.8012048192771084,80.12048192771084,48.397590361445786,0
58,8,0,47,4,2,2,165,4,883,26,21,65,173,5.475903614457831,5.666666666666667,34,20,11,10,10,1103,60,0.02357207615593835,0.06666666666666667,0,0,121,0.7333333333333333,73.33333333333333,50.75757575757576,0
59,10,0,54,1,2,3,457,15,2711,43,69,158,467,6.013100436681222,5.0,161,29,59,9,4,3294,66,0.013054037644201578,0.015151515151515152,0,0,239,0.5229759299781181,52.29759299781182,34.92997811816193,0
60,10,0,61,1,3,4,256,18,1127,42,42,94,266,4.54863813229572,5.636363636363637,60,27,17,15,9,1484,74,0.02830188679245283,0.013513513513513514,0,0,164,0.640625,64.0625,57.59375,0
61,10,0,51,3,2,3,383,12,1949,67,68,142,393,5.25,4.909090909090909,78,46,43,23,8,2478,65,0.027037933817594836,0.046153846153846156,0,0,269,0.7023498694516971,70.23498694516971,47.72062663185378,0
62,10,0,66,2,1,3,104,0,610,10,18,38,114,5.904761904761905,6.181818181818182,24,17,14,4,4,742,78,0.013477088948787063,0.02564102564102564,0,0,81,0.7788461538461539,77.88461538461539,44.48076923076923,0
63,8,0,53,4,1,2,194,9,1044,45,34,64,202,5.584615384615384,6.333333333333333,44,25,16,9,5,1326,65,0.033936651583710405,0.06153846153846154,0,0,140,0.7216494845360825,72.16494845360825,47.144329896907216,0
64,17,0,74,2,1,7,304,10,1530,42,68,107,321,5.154098360655738,4.222222222222222,77,41,13,24,17,1958,95,0.021450459652706845,0.021052631578947368,0,0,218,0.7171052631578947,71.71052631578948,59.39473684210526,0
65,14,2,77,3,3,3,472,88,2141,76,67,173,486,4.687103594080338,5.333333333333333,91,63,32,30,12,2860,98,0.026573426573426574,0.030612244897959183,0,1,305,0.6461864406779662,64.61864406779661,55.652542372881356,0
66,11,0,68,2,2,3,322,2,1744,33,33,118,333,5.501547987616099,5.833333333333333,77,36,29,22,13,2161,84,0.015270708005552984,0.023809523809523808,0,0,234,0.7267080745341615,72.67080745341615,44.46583850931677,0
67,20,2,101,6,4,6,355,18,1695,63,57,128,375,4.938202247191011,5.095238095238095,71,52,20,20,18,2206,133,0.028558476881233003,0.045112781954887216,1,0,250,0.704225352112676,70.4225352112676,56.54237288135593,0
68,12,0,58,2,2,4,116,3,552,9,11,52,128,4.794871794871795,4.615384615384615,33,19,7,8,6,697,75,0.01291248206599713,0.02666666666666667,1,0,91,0.7844827586206896,78.44827586206897,54.0,0
69,8,0,53,3,1,2,125,5,707,32,16,39,133,5.865079365079365,6.222222222222222,33,13,5,1,4,892,65,0.03587443946188341,0.046153846153846156,0,0,95,0.76,76.0,42.04,0
71,7,0,42,2,2,2,101,0,477,16,58,41,108,4.833333333333333,5.5,23,17,6,5,8,659,54,0.024279210925644917,0.037037037037037035,0,0,87,0.8613861386138614,86.13861386138613,58.603960396039604,0
72,13,0,62,4,2,5,594,15,3203,69,77,219,607,5.499159663865546,4.714285714285714,134,100,58,55,30,3981,80,0.01733232856066315,0.05,0,0,385,0.6481481481481481,64.81481481481481,44.94276094276094,0
74,12,2,58,3,2,4,325,15,1664,47,39,113,337,5.248466257668712,4.6923076923076925,73,39,29,16,15,2110,77,0.02227488151658768,0.03896103896103896,0,0,230,0.7076923076923077,70.76923076923077,47.8,0
75,12,4,57,2,3,2,139,10,749,16,17,54,151,5.464285714285714,4.538461538461538,38,22,10,7,6,940,79,0.01702127659574468,0.02531645569620253,0,0,110,0.7913669064748201,79.13669064748201,53.82014388489208,0
76,14,0,61,7,1,5,306,12,1601,27,24,120,320,5.302931596091205,4.533333333333333,78,38,29,18,14,2001,84,0.013493253373313344,0.08333333333333333,0,0,213,0.696078431372549,69.6078431372549,40.96078431372549,0
79,11,0,63,3,3,2,140,2,750,31,23,48,151,5.539007092198582,5.5,34,17,12,6,3,955,79,0.032460732984293195,0.0379746835443038,0,0,108,0.7714285714285715,77.14285714285714,53.07142857142857,0
80,8,4,43,2,2,1,167,54,739,28,42,51,175,4.565476190476191,5.0,36,20,20,8,5,1038,58,0.02697495183044316,0.034482758620689655,0,0,120,0.718562874251497,71.8562874251497,68.64071856287426,0
81,11,0,79,2,2,2,104,0,610,10,18,38,115,5.904761904761905,6.75,24,17,14,4,4,742,93,0.013477088948787063,0.021505376344086023,0,0,81,0.7788461538461539,77.88461538461539,44.48076923076923,0
83,7,2,40,3,2,1,94,4,498,14,14,32,101,5.389473684210526,5.375,22,12,12,3,4,632,53,0.022151898734177215,0.05660377358490566,0,0,79,0.8404255319148937,84.04255319148936,51.02127659574468,0
84,12,0,60,1,1,5,349,12,1710,12,37,160,361,4.92,4.6923076923076925,90,48,34,22,28,2135,74,0.005620608899297424,0.013513513513513514,0,1,220,0.6303724928366762,63.03724928366762,48.713467048710605,0
85,14,7,52,2,4,5,458,112,1829,86,91,169,472,4.172113289760349,3.6,89,47,25,28,17,2585,78,0.033268858800773696,0.02564102564102564,0,0,281,0.6135371179039302,61.353711790393014,66.51091703056768,0
87,10,0,55,2,1,3,141,0,694,24,19,55,151,5.056338028169014,5.181818181818182,35,17,13,6,9,881,67,0.02724177071509648,0.029850746268656716,0,0,111,0.7872340425531915,78.72340425531915,68.14893617021276,0
88,17,10,64,5,4,5,243,35,1167,43,31,94,260,4.959016393442623,3.8333333333333335,49,36,18,13,9,1526,99,0.02817824377457405,0.050505050505050504,0,0,172,0.7078189300411523,70.78189300411523,59.32921810699588,0
91,9,0,54,2,1,2,260,6,1395,22,22,100,269,5.42911877394636,5.6,65,34,25,13,8,1708,65,0.01288056206088993,0.03076923076923077,0,3,174,0.6692307692307692,66.92307692307692,46.61538461538461,0
93,14,4,63,1,2,5,236,12,1014,89,45,84,250,4.654008438818566,4.266666666666667,50,26,20,12,10,1417,83,0.06280875088214538,0.012048192771084338,1,0,180,0.7627118644067796,76.27118644067797,65.48305084745763,0
94,18,2,84,5,1,7,186,9,892,33,24,69,204,4.946524064171123,4.684210526315789,42,32,11,10,13,1154,111,0.02859618717504333,0.04504504504504504,0,0,115,0.6182795698924731,61.82795698924731,54.32258064516129,0
95,12,0,51,1,3,4,75,17,331,16,19,24,87,4.565789473684211,4.0,15,9,4,10,1,462,68,0.03463203463203463,0.014705882352941176,0,0,67,0.8933333333333333,89.33333333333333,67.13333333333333,0
96,10,1,44,1,1,3,233,7,1171,40,20,87,243,5.1752136752136755,4.090909090909091,59,27,18,10,6,1475,56,0.02711864406779661,0.017857142857142856,0,0,171,0.7339055793991416,73.39055793991416,43.76394849785408,0
97,11,3,39,4,1,4,150,10,769,17,24,54,161,5.2052980132450335,3.5833333333333335,30,31,7,12,12,979,58,0.017364657814096015,0.06896551724137931,0,0,121,0.8066666666666666,80.66666666666667,57.266666666666666,0
98,12,0,49,2,1,5,63,6,328,16,19,21,75,5.375,3.923076923076923,12,4,8,4,3,433,63,0.03695150115473441,0.031746031746031744,0,0,58,0.9206349206349206,92.06349206349206,53.6031746031746,0
99,22,9,92,7,4,8,394,34,2063,51,41,146,416,5.351898734177215,4.304347826086956,97,44,42,19,12,2595,135,0.019653179190751446,0.05185185185185185,0,0,270,0.6852791878172588,68.52791878172589,47.65482233502538,0
101,9,0,53,3,2,2,392,8,1857,62,52,147,401,4.88295165394402,5.6,87,47,36,20,9,2387,67,0.025974025974025976,0.04477611940298507,0,0,256,0.6530612244897959,65.3061224489796,56.576530612244895,0
102,10,0,58,2,1,1,142,0,693,31,14,57,152,5.062937062937063,5.454545454545454,34,22,8,12,8,895,72,0.034636871508379886,0.027777777777777776,0,0,114,0.8028169014084507,80.28169014084507,48.57746478873239,0
103,8,0,43,2,1,3,66,11,361,19,14,22,74,5.6716417910447765,5.0,14,8,3,5,3,475,53,0.04,0.03773584905660377,0,0,60,0.9090909090909091,90.9090909090909,49.90909090909091,0
104,8,0,66,2,1,1,278,6,1556,50,28,98,286,5.756272401433692,7.555555555555555,65,29,35,15,7,1933,76,0.02586652871184687,0.02631578947368421,0,0,196,0.7050359712230215,70.50359712230215,43.78417266187051,0
105,12,0,61,4,2,2,277,8,1365,31,34,111,289,5.0215827338129495,5.0,62,42,19,14,17,1738,80,0.017836593785960874,0.05,0,0,190,0.6859205776173285,68.59205776173285,49.83032490974729,0
107,13,0,28,40,4,1,265,7,1303,67,47,102,278,5.150375939849624,4.857142857142857,53,41,22,19,21,1696,84,0.039504716981132074,0.47619047619047616,0,2,197,0.7433962264150943,74.33962264150944,53.716981132075475,0
108,6,0,14,12,0,2,107,29,410,61,17,37,113,4.361111111111111,3.7142857142857144,26,9,2,4,4,624,32,0.09775641025641026,0.375,0,0,85,0.794392523364486,79.4392523364486,56.570093457943926,0
109,10,0,67,3,1,2,418,0,2110,56,66,165,428,5.16945107398568,6.363636363636363,106,77,21,35,20,2680,83,0.020895522388059702,0.03614457831325301,0,3,282,0.6746411483253588,67.46411483253588,62.8755980861244,0
110,12,0,62,5,1,4,172,8,880,25,8,73,184,5.23121387283237,5.153846153846154,32,27,10,9,8,1097,79,0.022789425706472195,0.06329113924050633,0,0,113,0.6569767441860465,65.69767441860465,42.08139534883721,0
111,12,0,60,3,0,4,490,45,2513,72,65,168,502,5.264765784114053,4.846153846153846,123,65,27,32,18,3233,74,0.022270337148159604,0.04054054054054054,0,1,326,0.6653061224489796,66.53061224489795,46.36734693877551,0
112,3,0,23,1,1,0,369,38,2040,99,100,143,372,5.781081081081081,6.0,80,57,17,23,20,2650,27,0.03735849056603774,0.037037037037037035,0,8,258,0.6991869918699187,69.91869918699187,47.672086720867206,0
113,15,0,75,1,0,7,413,8,2211,37,49,149,428,5.429951690821256,4.75,100,57,36,23,10,2743,90,0.013488880787458987,0.011111111111111112,0,1,288,0.6973365617433414,69.73365617433414,45.779661016949156,0
114,12,0,70,4,2,3,367,5,1943,41,39,140,379,5.391304347826087,5.6923076923076925,114,42,28,16,10,2409,88,0.017019510170195103,0.045454545454545456,0,0,232,0.6321525885558583,63.21525885558583,46.62942779291553,0
115,13,0,78,3,3,4,624,22,3066,84,64,246,637,5.04,5.785714285714286,138,58,47,53,33,3895,97,0.021566110397946085,0.030927835051546393,0,0,363,0.5817307692307693,58.17307692307692,48.47115384615385,0
116,10,0,61,4,2,1,1628,17,7928,159,196,696,1638,4.964395334561081,5.909090909090909,350,271,119,118,119,10012,79,0.01588094286855773,0.05063291139240506,0,13,864,0.5307125307125307,53.07125307125307,54.6019656019656,0
117,12,0,75,2,2,3,282,6,1449,32,37,102,294,5.23321554770318,5.923076923076923,72,39,23,19,11,1818,93,0.0176017601760176,0.021505376344086023,0,0,205,0.7269503546099291,72.69503546099291,52.829787234042556,0
118,8,2,46,1,0,1,80,4,380,11,10,28,88,4.827160493827161,5.222222222222222,20,9,7,3,2,489,56,0.022494887525562373,0.017857142857142856,0,0,68,0.85,85.0,55.375,0
119,10,0,64,3,1,2,237,10,1261,23,32,94,247,5.394957983193278,6.090909090909091,62,34,13,13,12,1568,77,0.014668367346938776,0.03896103896103896,0,0,160,0.6751054852320675,67.51054852320675,53.050632911392405,0
120,10,0,51,4,2,2,272,3,1412,39,30,89,282,5.315018315018315,5.0,60,45,25,21,16,1776,69,0.02195945945945946,0.057971014492753624,0,3,205,0.7536764705882353,75.36764705882354,46.97794117647059,0
121,10,8,43,2,4,1,459,118,2070,87,83,163,469,4.689130434782609,4.090909090909091,95,31,36,22,13,2831,66,0.0307311903920876,0.030303030303030304,0,0,287,0.6252723311546841,62.52723311546841,56.64705882352941,0
122,13,0,56,10,3,4,395,10,2077,45,67,142,408,5.358585858585859,4.714285714285714,93,47,47,31,13,2610,82,0.017241379310344827,0.12195121951219512,1,0,240,0.6075949367088608,60.75949367088607,46.392405063291136,0
123,13,2,62,6,2,4,178,12,878,36,27,66,191,5.106145251396648,4.857142857142857,31,25,16,7,6,1130,84,0.03185840707964602,0.07142857142857142,0,0,124,0.6966292134831461,69.66292134831461,52.93258426966292,0
125,12,1,47,2,1,4,649,14,3216,72,86,253,661,5.058461538461539,3.769230769230769,154,99,47,49,56,4060,66,0.017733990147783252,0.030303030303030304,0,1,422,0.650231124807396,65.0231124807396,52.728813559322035,0
126,11,0,57,4,2,2,375,2,2132,38,36,135,386,5.7712765957446805,5.083333333333333,83,46,53,27,9,2606,76,0.014581734458940905,0.05263157894736842,0,3,275,0.7333333333333333,73.33333333333333,38.78666666666667,0
127,7,4,32,3,3,1,145,58,648,26,28,51,152,4.616438356164384,4.375,31,16,10,7,2,909,49,0.028602860286028604,0.061224489795918366,0,0,95,0.6551724137931034,65.51724137931035,86.3103448275862,0
128,13,1,68,4,3,2,609,14,3206,41,58,242,622,5.322950819672132,5.142857142857143,152,98,56,40,24,3970,90,0.010327455919395465,0.044444444444444446,0,0,382,0.6272577996715928,62.725779967159276,43.87684729064039,0
129,15,0,69,15,8,3,264,13,1335,49,50,93,279,5.222641509433962,5.25,61,30,28,15,7,1712,106,0.028621495327102803,0.14150943396226415,0,0,173,0.6553030303030303,65.53030303030303,51.73764258555133,0
131,12,0,76,3,1,2,164,4,920,18,17,60,176,5.684848484848485,6.076923076923077,36,20,23,11,3,1130,93,0.01592920353982301,0.03225806451612903,0,0,124,0.7560975609756098,75.60975609756098,41.4390243902439,0
132,12,1,67,3,2,1,201,9,1031,36,37,80,213,5.282178217821782,5.384615384615385,40,29,10,13,15,1333,84,0.02700675168792198,0.03571428571428571,0,0,147,0.7313432835820896,73.13432835820896,55.517412935323385,0
133,11,0,73,3,2,2,323,12,1659,45,42,116,334,5.2592592592592595,6.333333333333333,71,39,29,25,10,2115,92,0.02127659574468085,0.03260869565217391,0,4,231,0.7151702786377709,71.51702786377709,49.588235294117645,0
134,15,0,74,3,2,6,1412,72,6836,125,155,551,1427,4.926397735314933,4.8125,308,196,83,121,82,8653,93,0.014445856928232984,0.03225806451612903,0,5,737,0.5219546742209632,52.195467422096314,51.37960339943343,0
135,6,0,34,2,2,1,113,0,603,14,13,49,119,5.412280701754386,5.142857142857143,30,20,8,3,9,750,45,0.018666666666666668,0.044444444444444446,0,1,89,0.7876106194690266,78.76106194690266,51.21238938053097,0
136,7,2,42,4,3,0,384,31,1855,233,58,134,391,5.423376623376623,5.75,87,40,25,13,13,2572,59,0.09059097978227061,0.06779661016949153,0,1,257,0.6692708333333334,66.92708333333333,48.296875,0
137,11,0,59,3,2,2,74,0,327,14,10,27,85,4.546666666666667,5.166666666666667,12,16,3,2,1,430,75,0.03255813953488372,0.04,0,0,55,0.7432432432432432,74.32432432432432,59.67567567567568,0
138,11,0,65,2,1,3,399,6,2160,47,61,167,410,5.5175,5.583333333333333,101,52,38,25,6,2673,78,0.017583239805462027,0.02564102564102564,0,0,253,0.6340852130325815,63.40852130325815,42.40852130325815,0
139,10,0,66,2,2,2,129,8,657,17,13,48,139,5.184615384615385,6.181818181818182,21,24,13,11,13,835,79,0.02035928143712575,0.02531645569620253,0,0,97,0.751937984496124,75.1937984496124,49.0,0
140,11,6,46,2,3,3,202,79,841,27,39,71,213,4.275862068965517,4.0,42,23,13,21,4,1194,67,0.022613065326633167,0.029850746268656716,0,0,128,0.6336633663366337,63.366336633663366,88.00990099009901,0
141,9,0,44,5,3,1,309,1,1566,57,31,115,318,5.235483870967742,4.9,57,49,23,31,13,1986,64,0.028700906344410877,0.078125,0,1,221,0.7152103559870551,71.5210355987055,48.773462783171524,0
